Acre;21.374
Alagoas;76.266
Amapá;20.100
Amazonas;131.531
Bahia;352.618
Ceará;194.885
Distrito Federal;286.944
Espírito Santo;186.337
Goiás;269.628
Maranhão;124.981
Mato Grosso;233.390
Mato Grosso do Sul;142.204
Minas Gerais;857.593
Paraná;549.973
Paraíba;77.470
Pará;262.905
Pernambuco;220.814
Piauí;64.028
Rio de Janeiro;949.301
Rio Grande do Norte;80.181
Rio Grande do Sul;581.284
Rondônia;58.170
Roraima;18.203
Santa Catarina;428.571
Sergipe;51.861
São Paulo;2.719.751
Tocantins;51.781
